Source Plate	Source Row	Source Column	Destination Plate	Destination Row	Destination Column	Gene
6	7	5	2	10	9	YOR382W
6	7	7	2	10	10	YDL061C
6	7	8	2	10	11	YGR294W
6	7	21	2	10	12	YOR027W
6	7	22	2	10	13	YPL033C
6	7	24	2	10	14	YHR147C
6	8	2	2	10	15	YOR143C
6	8	3	2	10	16	YDR009W
6	8	5	2	10	17	YDR481C
6	8	16	2	10	18	YFR009W
6	8	18	2	10	19	YMR199W
6	8	19	2	10	20	YLR227W-A
6	8	23	2	10	21	YMR268C
6	8	24	2	10	22	YPR125W
6	9	1	2	10	23	YMR294W
6	9	8	2	10	24	YOR334W
6	9	11	2	11	1	YNL146W
6	9	22	2	11	2	YPL066W
6	10	4	2	11	3	YAL040C
6	10	7	2	11	4	YDR299W
6	10	8	2	11	5	YGL144C
6	10	21	2	11	6	YLR081W
6	11	1	2	11	7	YMR278W
6	11	4	2	11	8	YIL158W
6	11	5	2	11	9	YOR383C
6	11	7	2	11	10	YDR538W
6	11	9	2	11	11	YMR246W
6	11	14	2	11	12	YHR066W
6	11	16	2	11	13	YHL039W
6	11	19	2	11	14	YOL119C
6	12	7	2	11	15	YDR232W
6	12	13	2	11	16	YKL004W
6	12	16	2	11	17	YDR239C
6	12	20	2	11	18	YPL072W
6	12	22	2	11	19	YDR363W
6	12	24	2	11	20	YPL181W
6	13	5	2	11	21	YOR390W
6	13	11	2	11	22	YJL196C
6	13	22	2	11	23	YPL184C
6	13	24	2	11	24	YHR188C
6	14	3	2	12	1	YFL040W
6	14	5	2	12	2	YGL110C
6	14	6	2	12	3	YDR192C
6	14	10	2	12	4	YNL249C
6	14	11	2	12	5	YBL045C
6	14	21	2	12	6	YLR276C
6	15	2	2	12	7	YIL094C
6	15	4	2	12	8	YJL066C
6	15	5	2	12	9	YPL220W
6	15	8	2	12	10	YER152C
6	15	11	2	12	11	YJL134W
6	15	12	2	12	12	YLR213C
6	15	19	2	12	13	YOL140W
7	1	6	2	12	14	YMR191W
7	1	9	2	12	15	YIL052C
7	1	12	2	12	16	YDL218W
7	1	18	2	12	17	YMR090W
7	1	22	2	12	18	YDR359C
7	2	3	2	12	19	YPL226W
7	2	6	2	12	20	YPL221W
7	2	7	2	12	21	YOR219C
7	2	8	2	12	22	YLR047C
7	2	9	2	12	23	YMR189W
7	2	10	2	12	24	YPR175W
7	2	11	2	13	1	YKL209C
7	2	12	2	13	2	YOR304W
7	2	13	2	13	3	YOR207C
7	2	15	2	13	4	YMR165C
7	2	16	2	13	5	YOR081C
7	2	17	2	13	6	YOL017W
7	2	18	2	13	7	YJL200C
7	2	19	2	13	8	YLR336C
7	2	22	2	13	9	YHR213W-B
7	2	23	2	13	10	YDR213W
7	3	2	2	13	11	YMR158C-A
7	3	3	2	13	12	YDR026C
7	3	4	2	13	13	YGR079W
7	3	6	2	13	14	YDR063W
7	3	10	2	13	15	YAL037W
7	3	11	2	13	16	YDL164C
7	3	12	2	13	17	YKL077W
7	3	16	2	13	18	YGR153W
7	3	19	2	13	19	YGR258C
7	3	24	2	13	20	YGL205W
7	4	1	2	13	21	YNL106C
7	4	2	2	13	22	YEL055C
7	4	3	2	13	23	YPL084W
7	4	4	2	13	24	YML035C
7	4	5	2	14	1	YKL213C
7	4	6	2	14	2	YOR087W
7	4	10	2	14	3	YOR058C
7	4	11	2	14	4	YBL014C
7	4	12	2	14	5	YMR031C
7	4	13	2	14	6	YNL068C
7	4	14	2	14	7	YGR125W
7	4	16	2	14	8	YBL104C
7	4	19	2	14	9	YKL146W
7	4	22	2	14	10	YOR358W
7	5	1	2	14	11	YGR229C
7	5	2	2	14	12	YOR338W
7	5	4	2	14	13	YNL269W
7	5	5	2	14	14	YEL043W
7	5	6	2	14	15	YNL208W
7	5	8	2	14	16	YHR050W
7	5	13	2	14	17	YDR273W
7	5	14	2	14	18	YFL052W
7	5	15	2	14	19	YGL103W
7	5	16	2	14	20	YER080W
7	5	17	2	14	21	YDR060W
7	5	22	2	14	22	YKL197C
7	5	24	2	14	23	YGL062W
7	6	2	2	14	24	YML104C
7	6	3	2	15	1	YER151C
7	6	4	2	15	2	YNL250W
7	6	5	2	15	3	YBR150C
7	6	7	2	15	4	YPL022W
7	6	8	2	15	5	YPR115W
7	6	9	2	15	6	YER176W
7	6	10	2	15	7	YNR067C
7	6	11	2	15	8	YDR108W
7	6	13	2	15	9	YER024W
7	6	19	2	15	10	YNL127W
7	6	21	2	15	11	YLR084C
7	6	22	2	15	12	YLR420W
7	6	24	2	15	13	YIR031C
7	7	1	2	15	14	YHR016C
7	7	3	2	15	15	YDR049W
7	7	4	2	15	16	YKL082C
7	7	5	2	15	17	YGR140W
7	7	11	2	15	18	YDL056W
7	7	12	2	15	19	YPL229W
7	7	17	2	15	20	YDR039C
7	7	18	2	15	21	YGR154C
7	7	24	2	15	22	YDL095W
7	8	2	2	15	23	YGL216W
7	8	3	2	15	24	YDR452W
7	8	4	2	16	1	YML042W
7	8	5	2	16	2	YIL147C
7	8	7	2	16	3	YAL002W
7	8	8	2	16	4	YDR186C
7	8	10	2	16	5	YER125W
7	8	11	2	16	6	YER013W
7	8	12	2	16	7	YPL126W
7	8	13	2	16	8	YKL220C
7	8	14	2	16	9	YLR095C
7	8	15	2	16	10	YHL024W
7	8	19	2	16	11	YEL053C
7	8	20	2	16	12	YER188C-A
7	8	21	2	16	13	YLR233C
7	8	24	2	16	14	YNR022C
7	9	2	2	16	15	YMR085W
7	9	3	2	16	16	YHR055C
7	9	4	2	16	17	YGR251W
7	9	6	2	16	18	YOR095C
7	9	14	2	16	19	YHR202W
7	9	19	2	16	20	YDL219W
7	9	20	2	16	21	YDR248C
7	9	24	2	16	22	YLR330W
7	10	1	2	16	23	YNL125C
