Source Plate	Source Row	Source Column	Destination Plate	Destination Row	Destination Column	Gene
3	12	18	2	5	12	YOR186W
3	12	19	2	5	13	YGR182C
3	12	20	2	5	14	YBR268W
3	12	21	2	5	15	YHL045W
3	12	22	2	5	16	YOL109W
3	12	23	2	5	17	YAR066W
3	13	6	2	5	18	YGL081W
3	13	11	2	5	19	YPL067C
3	13	12	2	5	20	YIL176C
3	13	22	2	5	21	YHR143W-A
3	14	3	2	5	22	YNL204C
3	14	6	2	5	23	YDL187C
3	14	10	2	5	24	YOR298C-A
3	14	12	2	6	1	YPR002C-A
3	14	16	2	6	2	YDL096C
3	14	17	2	6	3	YLR374C
3	14	18	2	6	4	YOR200W
3	14	21	2	6	5	YBL100C
3	14	23	2	6	6	YIL141W
3	14	24	2	6	7	YOL150C
3	15	2	2	6	8	YDL173W
3	15	4	2	6	9	YDR197W
3	15	5	2	6	10	YNR010W
3	15	8	2	6	11	YDR532C
3	15	13	2	6	12	YEL024W
3	15	19	2	6	13	YER150W
3	16	2	2	6	14	YNL056W
3	16	5	2	6	15	YNL303W
3	16	9	2	6	16	YLR444C
3	16	12	2	6	17	YPR039W
3	16	14	2	6	18	YCR101C
3	16	15	2	6	19	YNL140C
3	16	16	2	6	20	YDL118W
3	16	18	2	6	21	YOR224C
3	16	19	2	6	22	YGR228W
3	16	20	2	6	23	YOL037C
3	16	21	2	6	24	YBR009C
3	16	22	2	7	1	YOL135C
4	1	4	2	7	2	YMR272C
4	1	5	2	7	3	YBR241C
4	1	6	2	7	4	YBR198C
4	1	8	2	7	5	YMR296C
4	1	10	2	7	6	YNL241C
4	1	12	2	7	7	YMR024W
4	1	17	2	7	8	YPR109W
4	1	18	2	7	9	YLL026W
4	1	21	2	7	10	YDL186W
4	2	3	2	7	11	YHL016C
4	2	9	2	7	12	YGL003C
4	2	10	2	7	13	YER042W
4	2	12	2	7	14	YGL045W
4	2	13	2	7	15	YFR004W
4	2	16	2	7	16	YBL032W
4	2	18	2	7	17	YBR095C
4	2	20	2	7	18	YAL058W
4	2	21	2	7	19	YOL063C
4	2	23	2	7	20	YOR162C
4	2	24	2	7	21	YGR103W
4	3	3	2	7	22	YBR205W
4	3	4	2	7	23	YMR203W
4	3	5	2	7	24	YBR298C
4	3	6	2	8	1	YMR257C
4	3	8	2	8	2	YMR284W
4	3	9	2	8	3	YNL015W
4	3	13	2	8	4	YPL278C
4	3	15	2	8	5	YPR073C
4	3	16	2	8	6	YML046W
4	3	19	2	8	7	YDL032W
4	3	21	2	8	8	YOR345C
4	3	22	2	8	9	YML015C
4	3	24	2	8	10	YML002W
4	4	2	2	8	11	YDL046W
4	4	3	2	8	12	YJL053W
4	4	6	2	8	13	YJL104W
4	4	7	2	8	14	YGL127C
4	4	12	2	8	15	YBR072W
4	4	13	2	8	16	YGL040C
4	4	15	2	8	17	YGL223C
4	4	16	2	8	18	YAL060W
4	4	17	2	8	19	YPL269W
4	4	18	2	8	20	YBL098W
4	4	21	2	8	21	YOR040W
4	5	3	2	8	22	YCL052C
4	5	5	2	8	23	YBR237W
4	5	8	2	8	24	YNL218W
4	5	9	2	9	1	YPL178W
4	5	10	2	9	2	YOL101C
4	5	11	2	9	3	YPL223C
4	5	12	2	9	4	YMR026C
4	5	14	2	9	5	YML043C
4	5	17	2	9	6	YPR154W
4	5	19	2	9	7	YER099C
4	5	21	2	9	8	YOR333C
4	5	22	2	9	9	YML021C
4	5	23	2	9	10	YNL074C
4	5	24	2	9	11	YLR397C
4	6	5	2	9	12	YFR037C
4	6	11	2	9	13	YER043C
4	6	14	2	9	14	YBR104W
4	6	18	2	9	15	YBR199W
4	6	20	2	9	16	YBL019W
4	7	1	2	9	17	YHR042W
4	7	4	2	9	18	YMR209C
4	7	5	2	9	19	YCR011C
4	7	6	2	9	20	YNL107W
4	7	7	2	9	21	YLL057C
4	7	8	2	9	22	YNL115C
4	7	15	2	9	23	YPR077C
4	7	16	2	9	24	YMR081C
4	7	18	2	10	1	YLR376C
4	8	5	2	10	2	YFL054C
4	8	9	2	10	3	YDR498C
4	8	16	2	10	4	YAL061W
4	8	17	2	10	5	YCR052W
4	8	18	2	10	6	YBL086C
4	8	19	2	10	7	YNR051C
4	8	20	2	10	8	YBL054W
4	8	21	2	10	9	YOL137W
4	8	23	2	10	10	YPL054W
4	9	1	2	10	11	YHR072W
4	9	4	2	10	12	YMR215W
4	9	9	2	10	13	YFL006W
4	9	12	2	10	14	YML074C
4	9	15	2	10	15	YPR094W
4	9	16	2	10	16	YMR145C
4	9	18	2	10	17	YLR126C
4	9	19	2	10	18	YAL064C-A
4	9	21	2	10	19	YPL002C
4	9	23	2	10	20	YNL079C
4	10	2	2	10	21	YIL084C
4	10	5	2	10	22	YGL234W
4	10	7	2	10	23	YGL001C
4	10	8	2	10	24	YOR185C
4	10	16	2	11	1	YBL055C
4	10	18	2	11	2	YBL056W
4	10	19	2	11	3	YNR039C
4	10	20	2	11	4	YBR131W
4	10	22	2	11	5	YGR110W
4	10	23	2	11	6	YPL069C
4	11	2	2	11	7	YMR180C
4	11	4	2	11	8	YMR258C
4	11	11	2	11	9	YPL264C
4	11	14	2	11	10	YMR014W
4	11	15	2	11	11	YPR102C
4	11	16	2	11	12	YMR089C
4	11	17	2	11	13	YCR003W
4	11	18	2	11	14	YLR285W
4	11	20	2	11	15	YLR286C
4	11	22	2	11	16	YLR380W
4	12	3	2	11	17	YDL183C
4	12	5	2	11	18	YEL016C
4	12	6	2	11	19	YBL029W
4	12	8	2	11	20	YPL087W
4	12	9	2	11	21	YER154W
4	12	10	2	11	22	YFL005W
4	12	12	2	11	23	YAL027W
4	12	13	2	11	24	YGL067W
4	12	15	2	12	1	YGL202W
4	12	18	2	12	2	YBR098W
4	12	19	2	12	3	YOL113W
4	13	2	2	12	4	YMR270C
4	13	4	2	12	5	YMR213W
4	13	7	2	12	6	YBR103W
4	13	13	2	12	7	YPR052C
4	13	16	2	12	8	YMR086W
4	13	19	2	12	9	YAR053W
4	13	20	2	12	10	YLR135W
4	13	21	2	12	11	YPL182C
4	13	23	2	12	12	YOL082W
4	14	1	2	12	13	YGR256W
4	14	5	2	12	14	YEL062W
4	14	16	2	12	15	YBL046W
4	14	17	2	12	16	YCR067C
4	14	24	2	12	17	YJL036W
4	15	1	2	12	18	YBR211C
4	15	5	2	12	19	YKR051W
4	15	13	2	12	20	YPR038W
4	15	15	2	12	21	YPR099C
4	15	18	2	12	22	YLR377C
4	15	19	2	12	23	YDL184C
4	15	20	2	12	24	YLR414C
4	15	22	2	13	1	YLR446W
4	16	5	2	13	2	YER022W
4	16	20	2	13	3	YGR104C
5	1	4	2	13	4	YDL059C
5	1	6	2	13	5	YNL049C
5	1	7	2	13	6	YGR238C
5	1	8	2	13	7	YMR108W
5	1	10	2	13	8	YLR093C
5	1	11	2	13	9	YDR503C
5	1	12	2	13	10	YJR159W
5	1	13	2	13	11	YLR427W
5	1	14	2	13	12	YJL151C
5	1	15	2	13	13	YIL067C
5	1	16	2	13	14	YBL002W
